"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"[Ruminococcus];T21"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.7384234505022	0.0314352114857477	0.168900539194516	0.0022302067303327	0.515788853170917	0.0022302067303327	0.347912249931901	NA	"abundance"	156	155
"Faecalibacterium;T11"	"Year"	"Year"	"Year"	-0.605921049475412	-0.0292642644360419	0.112985048761161	0.0036974111338417	0.515788853170917	0.00738115141859074	0.575729810650078	NA	"abundance"	156	154
"Coprococcus;T08"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.766390381330138	0.0314352114857477	0.266243564068233	0.0188950088323996	0.926756994692936	0.0374329963060227	0.862372138897282	NA	"abundance"	156	155
"Coprococcus;T08"	"Year"	"Year"	"Year"	0.876222374753451	-0.0292642644360419	0.31721370664773	0.0155862706511953	0.926756994692936	0.0309296094695784	0.862372138897282	NA	"abundance"	156	155
"Phascolarctobacterium;T32"	"Triglycerides_mg.dL"	"Triglycerides_mg.dL"	"Triglycerides_mg.dL"	-0.779916858187349	0.0497346737383611	0.311058972051619	0.0199302579503857	0.926756994692936	0.0394633007188025	0.862372138897282	NA	"abundance"	156	155
"Pseudomonas;T28"	"Year"	"Year"	"Year"	0.992702361501957	-0.0292642644360419	0.216787714502515	0.0105014766694889	0.926756994692936	0.0208926723267379	0.862372138897282	NA	"abundance"	156	66
"[Ruminococcus];T21"	"Triglycerides_mg.dL"	"Triglycerides_mg.dL"	"Triglycerides_mg.dL"	-0.502865502972703	0.0497346737383611	0.239867374965352	0.048880902706061	0.963621222638627	0.0953724627627627	0.862372138897282	NA	"abundance"	156	155
"Blautia;T14"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.370266306002809	0.0314352114857477	0.105233975488066	0.0402006215239852	0.963621222638627	0.0787851530770557	0.862372138897282	NA	"abundance"	156	155
"Dialister;T23"	"Year"	"Year"	"Year"	0.659444781310686	-0.0292642644360419	0.305868070096405	0.0515938846744411	0.963621222638627	0.100525840413083	0.862372138897282	NA	"abundance"	156	153
"Dorea;T24"	"Year"	"Year"	"Year"	-0.536122803939346	-0.0292642644360419	0.226340099923627	0.0690767901533066	0.963621222638627	0.133381977368729	0.86698285289674	NA	"abundance"	156	154
"Lachnospira;T13"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	-0.460258176714384	0.0314352114857477	0.199157097045305	0.0441454920897906	0.963621222638627	0.0863421597077314	0.862372138897282	NA	"abundance"	156	154
"Phascolarctobacterium;T32"	"Year"	"Year"	"Year"	-0.60170559223805	-0.0292642644360419	0.260960882559692	0.0640497541229449	0.963621222638627	0.12399713724268	0.862372138897282	NA	"abundance"	156	155
"Prevotella;T09"	"Year"	"Year"	"Year"	-1.13348510457516	-0.0292642644360419	0.48384466342038	0.0389176083016609	0.963621222638627	0.0763206363674003	0.862372138897282	NA	"abundance"	156	149
"Pseudomonas;T28"	"Triglycerides_mg.dL"	"Triglycerides_mg.dL"	"Triglycerides_mg.dL"	-0.676104878318078	0.0497346737383611	0.284422107235299	0.0639747104154389	0.963621222638627	0.123856657258139	0.862372138897282	NA	"abundance"	156	66
